,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,Season,Team Performance,MPG
30,7126,Dennis Schröder,PG,21,ATL,77,10,1516,9.6,22.4,0.427,1.8,5.0,0.351,7.8,17.4,0.449,5.0,6.0,0.827,1.0,4.6,5.5,10.7,1.7,0.1,5.1,4.3,25.9,,101.0,106.0,2014-2015,top,19.7
31,6817,Kent Bazemore,SG,25,ATL,75,10,1324,5.4,12.8,0.426,1.9,5.1,0.364,3.6,7.7,0.467,2.3,3.9,0.6,0.8,7.8,8.6,3.0,2.0,1.3,2.8,4.9,15.1,,94.0,102.0,2014-2015,top,18.8
32,7625,Thabo Sefolosha,SF,31,ATL,75,11,1758,5.3,10.5,0.505,1.2,3.5,0.339,4.1,7.0,0.589,1.7,2.8,0.626,1.5,7.9,9.4,3.0,2.4,1.0,1.9,3.1,13.5,,108.0,100.0,2015-2016,Average,23.4
33,7622,Dennis Schröder,PG,22,ATL,80,6,1621,10.0,23.8,0.421,2.3,7.3,0.322,7.7,16.5,0.465,4.4,5.5,0.791,0.8,5.5,6.2,10.6,2.1,0.3,5.6,4.2,26.8,,97.0,103.0,2015-2016,Average,20.3
34,7902,Tim Hardaway Jr.,SG,24,ATL,79,30,2154,9.5,20.9,0.455,3.4,9.5,0.357,6.1,11.3,0.537,3.8,4.9,0.766,0.8,4.3,5.1,4.2,1.3,0.3,2.4,2.4,26.2,,110.0,109.0,2016-2017,Average,27.3
35,7843,Malcolm Delaney,PG,27,ATL,73,2,1248,5.7,15.3,0.374,1.0,4.3,0.236,4.7,11.0,0.428,3.0,3.7,0.806,0.4,4.5,4.9,7.6,1.5,0.0,3.8,4.4,15.4,,92.0,109.0,2016-2017,Average,17.7
36,8325,John Collins,PF,20,ATL,74,26,1785,8.6,14.9,0.576,0.4,1.3,0.34,8.2,13.6,0.598,3.6,5.1,0.715,4.8,10.0,14.8,2.7,1.3,2.2,2.9,5.9,21.3,,117.0,108.0,2017-2018,bottom,26.9
37,8654,Isaiah Taylor,PG,23,ATL,67,9,1167,6.8,16.3,0.418,0.8,3.3,0.25,6.0,13.0,0.461,4.1,5.9,0.702,0.9,3.0,3.9,8.6,1.4,0.4,3.5,4.9,18.6,,101.0,114.0,2017-2018,bottom,24.1
38,8816,DeAndre' Bembry,SG,24,ATL,82,15,1931,6.6,14.7,0.446,1.2,4.1,0.289,5.4,10.6,0.508,2.1,3.3,0.64,1.3,7.3,8.6,4.8,2.5,1.0,3.4,4.5,16.4,,97.0,112.0,2018-2019,Average,24.5
39,8810,Kent Bazemore,SG,29,ATL,67,35,1643,7.8,19.4,0.402,2.7,8.4,0.32,5.1,11.0,0.465,3.6,4.9,0.726,1.0,6.3,7.3,4.3,2.5,1.2,3.4,4.8,21.9,,98.0,112.0,2018-2019,Average,23.5
40,9677,Cam Reddish,SF,20,ATL,58,34,1551,6.4,16.6,0.384,2.5,7.5,0.332,3.9,9.1,0.428,3.0,3.8,0.802,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4.0,18.3,,95.0,115.0,2019-2020,Average,26.7
41,9339,DeAndre' Bembry,SG,25,ATL,43,4,915,5.3,11.6,0.456,0.8,3.3,0.231,4.5,8.3,0.546,1.3,2.4,0.542,1.7,6.0,7.7,4.1,2.8,1.0,3.1,4.3,12.7,,95.0,112.0,2019-2020,Average,21.3
42,10021,Solomon Hill,PF,29,ATL,71,16,1513,3.5,9.7,0.359,2.2,6.9,0.321,1.3,2.8,0.453,1.1,1.5,0.761,1.4,5.6,7.0,2.4,1.6,0.4,1.4,3.8,10.3,,104.0,115.0,2020-2021,Average,29.7
43,9879,Bogdan Bogdanović,SG,28,ATL,44,27,1305,10.1,21.3,0.473,5.5,12.6,0.438,4.6,8.7,0.522,1.5,1.7,0.909,0.8,5.3,6.0,5.5,1.8,0.5,2.0,3.7,27.1,,122.0,114.0,2020-2021,Average,29.5
44,10422,Bogdan Bogdanović,SG,29,ATL,63,27,1848,9.1,21.1,0.431,4.5,12.2,0.368,4.6,8.9,0.516,2.6,3.1,0.843,0.8,5.9,6.6,5.2,1.8,0.4,1.9,3.5,25.3,,114.0,116.0,2021-2022,Average,29.3
45,10527,Danilo Gallinari,PF,33,ATL,66,18,1672,7.6,17.5,0.434,3.3,8.6,0.381,4.3,8.9,0.485,4.1,4.6,0.904,1.0,8.0,9.1,3.0,0.8,0.4,1.1,2.7,22.7,,120.0,117.0,2021-2022,Average,27.3
46,11300,Onyeka Okongwu,C,22,ATL,80,18,1849,8.2,12.8,0.638,0.1,0.3,0.308,8.1,12.5,0.647,3.9,5.1,0.781,5.6,9.3,14.9,2.1,1.4,2.8,2.1,6.5,20.4,,134.0,112.0,2022-2023,Average,27.9
47,11015,Bogdan Bogdanović,SG,30,ATL,54,9,1508,8.6,19.3,0.447,4.6,11.4,0.406,4.0,7.9,0.506,2.0,2.4,0.831,0.7,4.5,5.2,4.7,1.4,0.6,2.1,2.7,23.9,,117.0,118.0,2022-2023,Average,23.1
48,24,Tony Battie,C,23,BOS,82,4,1505,7.4,15.5,0.477,0.0,0.3,0.125,7.4,15.2,0.483,3.4,5.1,0.675,5.1,8.7,13.8,2.1,1.6,2.4,2.3,8.4,18.2,,108.0,103.0,1999-2000,Average,20.3
49,396,Eric Williams,SF,27,BOS,68,17,1378,6.1,14.2,0.427,0.9,2.7,0.347,5.2,11.6,0.446,4.9,6.2,0.793,2.0,3.7,5.7,3.4,1.6,0.6,2.4,6.1,18.0,,108.0,108.0,1999-2000,Average,19.5
50,730,Vitaly Potapenko,C,25,BOS,82,7,1901,6.8,14.2,0.476,0.0,0.0,,6.8,14.2,0.476,3.1,4.3,0.728,5.6,7.9,13.5,1.7,1.4,0.6,2.9,6.2,16.7,,103.0,104.0,2000-2001,Average,25.7
51,822,Eric Williams,SF,28,BOS,81,11,1745,4.8,13.3,0.362,1.4,4.1,0.331,3.4,9.2,0.375,4.9,6.9,0.714,1.9,4.2,6.2,3.3,1.9,0.4,2.3,5.3,15.9,,100.0,106.0,2000-2001,Average,23.2
52,1278,Eric Williams,SF,29,BOS,74,30,1747,4.3,11.4,0.374,0.7,2.6,0.279,3.6,8.9,0.401,4.8,6.5,0.731,1.7,4.8,6.6,3.2,2.3,0.2,2.8,5.3,14.0,,96.0,103.0,2001-2002,Average,23.6
53,1238,Erick Strickland,PG,28,BOS,79,4,1643,6.0,15.4,0.389,3.0,7.8,0.385,3.0,7.6,0.394,4.1,4.9,0.845,0.7,6.0,6.7,5.8,1.8,0.0,3.0,4.6,19.1,,106.0,103.0,2001-2002,Average,20.8
54,1548,Walter McCarty,SF,28,BOS,82,8,1949,4.7,11.3,0.414,2.5,6.7,0.367,2.2,4.6,0.482,1.7,2.7,0.622,1.7,6.1,7.8,2.9,2.1,0.8,1.8,5.1,13.5,,106.0,102.0,2002-2003,Average,28.0
55,1410,Tony Delk,PG,29,BOS,67,39,1873,6.6,15.8,0.416,3.4,8.6,0.395,3.2,7.2,0.441,1.9,2.5,0.782,1.2,5.4,6.5,4.1,2.0,0.3,1.9,3.5,18.4,,108.0,103.0,2002-2003,Average,23.8
56,1972,Walter McCarty,PF,29,BOS,77,23,1900,5.5,14.2,0.388,3.7,9.9,0.374,1.8,4.3,0.42,1.7,2.2,0.756,0.8,5.7,6.5,3.4,2.0,0.6,2.5,4.9,16.4,,102.0,105.0,2003-2004,Average,24.7
57,1761,Marcus Banks,PG,22,BOS,81,2,1385,6.6,16.4,0.4,1.0,3.2,0.314,5.6,13.2,0.421,3.7,4.9,0.756,1.1,3.8,4.9,6.5,3.3,0.5,4.6,6.4,17.9,,91.0,103.0,2003-2004,Average,19.3
58,2276,Ricky Davis,SG,25,BOS,82,11,2696,9.2,19.9,0.462,1.2,3.4,0.339,8.0,16.4,0.488,5.5,6.7,0.815,1.3,3.5,4.8,4.7,1.7,0.5,3.9,3.3,25.0,,104.0,110.0,2004-2005,Average,32.9
59,2193,Tony Allen,SG,23,BOS,77,34,1262,7.5,15.8,0.475,0.5,1.3,0.387,7.0,14.5,0.483,4.6,6.2,0.737,3.5,5.5,9.0,2.6,3.1,1.0,3.1,6.4,20.1,,106.0,104.0,2004-2005,Average,16.4
60,2782,Ryan Gomes,PF,23,BOS,61,33,1376,6.5,13.4,0.487,0.1,0.3,0.333,6.4,13.1,0.491,4.2,5.6,0.752,3.9,7.4,11.3,2.2,1.3,0.2,2.1,3.1,17.4,,112.0,108.0,2005-2006,Average,22.6
61,2943,Kendrick Perkins,C,21,BOS,68,40,1332,5.4,10.4,0.515,0.0,0.1,0.0,5.4,10.3,0.519,3.1,5.1,0.615,5.5,10.3,15.8,2.7,0.8,4.1,4.2,7.8,13.8,,100.0,103.0,2005-2006,Average,19.6
62,3446,Rajon Rondo,PG,20,BOS,78,25,1831,5.4,12.8,0.418,0.2,0.8,0.207,5.2,12.0,0.432,3.4,5.2,0.647,2.1,6.2,8.3,8.5,3.6,0.2,3.9,5.2,14.3,,97.0,103.0,2006-2007,bottom,28.1
63,3258,Gerald Green,SF,21,BOS,81,26,1780,9.1,21.7,0.419,2.8,7.6,0.368,6.3,14.1,0.447,3.8,4.7,0.805,2.0,4.1,6.1,2.4,1.2,0.7,3.5,5.8,24.7,,99.0,109.0,2006-2007,bottom,24.4
64,3852,James Posey,PF,31,BOS,74,2,1821,5.0,12.0,0.418,3.1,8.1,0.38,1.9,3.9,0.496,2.7,3.3,0.809,0.9,8.5,9.3,3.3,2.1,0.6,1.9,5.3,15.8,,114.0,98.0,2007-2008,top,24.6
65,3732,Eddie House,PG,29,BOS,78,2,1480,7.7,18.9,0.409,4.2,10.6,0.393,3.6,8.3,0.429,1.2,1.3,0.917,0.7,5.3,6.0,5.4,2.1,0.4,2.7,4.1,20.8,,105.0,100.0,2007-2008,top,19.0
66,4104,Glen Davis,C,23,BOS,76,16,1637,6.5,14.6,0.442,0.1,0.2,0.4,6.4,14.4,0.443,4.2,5.8,0.73,3.9,5.8,9.8,2.2,1.7,0.6,2.3,7.5,17.2,,106.0,103.0,2008-2009,top,21.5
67,4180,Eddie House,PG,30,BOS,81,0,1479,8.9,20.1,0.445,5.4,12.2,0.444,3.5,7.9,0.445,1.5,1.9,0.792,0.4,5.2,5.6,3.3,2.2,0.3,2.0,4.1,24.8,,115.0,103.0,2008-2009,top,19.3
68,4806,Rasheed Wallace,C,35,BOS,79,13,1780,7.8,19.1,0.409,2.4,8.5,0.283,5.4,10.6,0.511,2.8,3.7,0.768,1.2,8.3,9.6,2.4,2.4,2.1,1.9,6.5,20.9,,100.0,100.0,2009-2010,Average,22.5
69,4555,Marquis Daniels,SF,29,BOS,51,4,937,6.9,13.9,0.498,0.3,1.6,0.214,6.6,12.4,0.534,1.9,3.1,0.607,1.5,3.8,5.3,3.7,1.5,0.3,2.3,5.1,16.1,,102.0,107.0,2009-2010,Average,22.0
70,4987,Glen Davis,C,25,BOS,78,13,2298,8.3,18.5,0.448,0.0,0.3,0.133,8.3,18.2,0.454,4.5,6.1,0.736,2.3,7.5,9.8,2.1,1.8,0.7,2.0,5.3,21.1,,101.0,100.0,2010-2011,Average,29.5
71,4985,Marquis Daniels,SF,30,BOS,49,0,938,6.5,13.1,0.491,0.2,1.2,0.19,6.2,11.9,0.521,2.2,3.2,0.684,1.4,5.0,6.4,3.6,2.2,1.2,2.2,3.6,15.3,,102.0,101.0,2010-2011,Average,20.3
72,5388,Brandon Bass,PF,26,BOS,59,39,1868,8.6,18.0,0.479,0.0,0.0,,8.6,18.0,0.479,3.8,4.6,0.81,2.7,7.7,10.4,1.6,1.0,1.5,1.8,3.8,21.0,,103.0,99.0,2011-2012,Average,31.7
73,5414,Avery Bradley,PG,21,BOS,64,28,1368,7.8,15.6,0.498,0.9,2.1,0.407,6.9,13.5,0.511,2.4,3.0,0.795,1.3,3.1,4.5,3.4,1.7,0.5,2.9,4.2,18.8,,100.0,102.0,2011-2012,Average,22.8
74,5978,Jeff Green,PF,26,BOS,81,17,2252,8.7,18.7,0.467,1.6,4.2,0.385,7.1,14.5,0.49,5.0,6.2,0.808,1.3,6.1,7.4,3.0,1.3,1.6,3.1,4.1,24.1,,104.0,104.0,2012-2013,Average,37.4
75,6196,Jason Terry,SG,35,BOS,79,24,2124,6.9,16.0,0.434,3.0,8.2,0.372,3.9,7.8,0.498,2.8,3.2,0.87,0.5,3.4,3.9,4.9,1.6,0.3,2.5,2.7,19.7,,107.0,107.0,2012-2013,Average,27.8
76,6691,Gerald Wallace,SF,31,BOS,58,16,1416,4.2,8.4,0.504,0.7,2.3,0.297,3.5,6.0,0.584,1.7,3.7,0.465,1.3,6.4,7.7,5.2,2.7,0.5,3.5,2.9,10.8,,95.0,106.0,2013-2014,Average,33.3
77,6594,Kelly Olynyk,C,22,BOS,70,9,1400,8.6,18.4,0.466,1.5,4.2,0.351,7.1,14.3,0.5,3.6,4.5,0.811,5.1,8.3,13.4,4.0,1.3,1.0,3.9,8.3,22.3,,107.0,107.0,2013-2014,Average,24.4
78,7133,Marcus Smart,PG,20,BOS,67,38,1808,4.8,13.2,0.367,2.5,7.5,0.335,2.3,5.7,0.41,2.3,3.5,0.646,1.7,4.5,6.1,5.8,2.7,0.5,2.5,4.9,14.5,,101.0,104.0,2014-2015,Average,27.0
79,7091,Kelly Olynyk,C,23,BOS,64,13,1423,8.8,18.6,0.475,2.1,6.2,0.349,6.7,12.4,0.538,3.3,4.8,0.684,3.2,7.4,10.7,3.8,2.3,1.4,3.4,7.5,23.1,,105.0,102.0,2014-2015,Average,22.2
80,7659,Evan Turner,SG,27,BOS,81,12,2271,7.4,16.2,0.456,0.4,1.8,0.241,6.9,14.4,0.482,3.2,3.8,0.827,1.1,7.4,8.5,7.7,1.7,0.6,3.6,3.0,18.3,,102.0,104.0,2015-2016,Average,28.0
81,7633,Marcus Smart,PG,21,BOS,61,10,1667,5.4,15.5,0.348,1.8,7.0,0.253,3.6,8.4,0.427,3.8,4.9,0.777,2.2,5.2,7.5,5.4,2.7,0.5,2.3,5.4,16.3,,101.0,103.0,2015-2016,Average,27.3
82,8112,Marcus Smart,SG,22,BOS,79,24,2399,5.6,15.5,0.359,1.9,6.9,0.283,3.6,8.6,0.42,4.2,5.2,0.812,1.6,4.7,6.3,7.5,2.6,0.7,3.3,4.0,17.3,,102.0,108.0,2016-2017,top,30.4
83,8052,Kelly Olynyk,C,25,BOS,75,6,1538,8.4,16.4,0.512,2.2,6.2,0.354,6.2,10.2,0.608,2.9,4.0,0.732,2.4,9.3,11.6,4.8,1.4,0.9,3.1,6.7,21.9,,113.0,107.0,2016-2017,top,20.5
84,8622,Terry Rozier,PG,23,BOS,80,16,2068,7.6,19.3,0.395,3.7,9.7,0.381,3.9,9.6,0.41,2.8,3.6,0.772,1.5,7.6,9.1,5.6,1.9,0.5,1.9,3.0,21.7,,109.0,104.0,2017-2018,top,29.9
85,8640,Marcus Smart,SG,23,BOS,54,11,1614,5.9,15.9,0.367,2.3,7.7,0.301,3.5,8.2,0.429,3.0,4.1,0.729,1.3,4.5,5.9,8.0,2.2,0.7,4.0,4.1,17.0,,97.0,104.0,2017-2018,top,26.7
86,8843,Jaylen Brown,SG,22,BOS,74,25,1913,9.3,19.9,0.465,2.4,6.9,0.344,6.9,13.0,0.529,3.3,5.1,0.658,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,,104.0,109.0,2018-2019,Average,26.0
87,8961,Gordon Hayward,PF,28,BOS,72,18,1863,7.7,16.4,0.466,2.0,6.0,0.333,5.7,10.4,0.542,4.0,4.8,0.834,1.3,7.0,8.3,6.3,1.6,0.6,2.7,2.7,21.3,,114.0,109.0,2018-2019,Average,25.9
88,9710,Marcus Smart,SG,25,BOS,60,40,1919,6.4,17.2,0.375,3.4,9.9,0.347,3.0,7.2,0.415,3.2,3.8,0.836,1.1,4.6,5.7,7.3,2.5,0.7,2.6,4.1,19.5,,110.0,107.0,2019-2020,Average,32.0
89,9747,Brad Wanamaker,PG,30,BOS,71,1,1369,5.7,12.8,0.448,1.3,3.6,0.363,4.4,9.2,0.481,4.4,4.8,0.926,0.8,4.3,5.1,6.3,2.2,0.5,2.7,4.7,17.2,,115.0,109.0,2019-2020,Average,19.3
90,10192,Payton Pritchard,SG,23,BOS,66,4,1268,7.1,16.1,0.44,3.9,9.6,0.411,3.2,6.5,0.482,1.5,1.7,0.889,1.3,4.8,6.1,4.6,1.4,0.3,2.0,4.0,19.6,,117.0,115.0,2020-2021,Average,19.2
91,10281,Grant Williams,PF,22,BOS,63,9,1138,4.6,10.6,0.437,2.1,5.5,0.372,2.6,5.1,0.508,1.3,2.2,0.588,2.1,5.6,7.6,2.7,1.4,1.0,2.4,6.9,12.6,,105.0,114.0,2020-2021,Average,18.9
92,10865,Grant Williams,PF,23,BOS,77,21,1875,5.4,11.4,0.475,2.8,6.8,0.411,2.6,4.6,0.569,2.3,2.5,0.905,1.7,5.6,7.3,2.1,1.0,1.5,1.6,4.9,16.0,,122.0,109.0,2021-2022,Average,24.4
93,10765,Payton Pritchard,PG,24,BOS,71,2,1001,7.9,18.5,0.429,5.0,12.2,0.412,2.9,6.4,0.461,1.0,1.0,1.0,1.6,5.1,6.7,6.9,1.2,0.3,2.0,3.0,21.9,,120.0,110.0,2021-2022,Average,14.1
94,11427,Grant Williams,PF,24,BOS,79,23,2045,5.1,11.3,0.454,2.7,6.9,0.395,2.4,4.4,0.546,2.2,2.9,0.77,2.1,6.6,8.7,3.1,1.0,0.7,2.0,4.6,15.3,,118.0,113.0,2022-2023,top,26.0
95,11028,Malcolm Brogdon,PG,30,BOS,67,0,1744,9.9,20.5,0.484,3.7,8.3,0.444,6.2,12.2,0.51,4.5,5.1,0.87,1.2,6.7,7.8,6.9,1.3,0.5,2.7,3.0,28.0,,122.0,113.0,2022-2023,top,25.9
96,5877,Andray Blatche,C,26,BRK,82,8,1555,12.0,23.5,0.512,0.1,0.8,0.136,11.9,22.7,0.524,5.1,7.5,0.685,5.6,8.9,14.5,3.0,3.0,1.9,4.3,5.7,29.3,,107.0,101.0,2012-2013,Average,19.0
97,6226,C.J. Watson,PG,28,BRK,80,8,1521,6.8,16.3,0.418,3.1,7.6,0.411,3.7,8.7,0.424,2.5,3.2,0.78,1.4,3.8,5.2,5.7,2.3,0.4,2.5,4.4,19.3,,113.0,107.0,2012-2013,Average,19.0
98,6311,Alan Anderson,SF,31,BRK,78,26,1773,5.7,14.4,0.4,2.5,7.3,0.339,3.3,7.0,0.464,2.7,3.5,0.78,1.2,4.0,5.2,2.4,1.4,0.3,1.8,4.4,16.7,,103.0,111.0,2013-2014,Average,31.4
99,6344,Andray Blatche,PF,27,BRK,73,7,1618,10.4,21.9,0.476,0.5,1.8,0.278,9.9,20.1,0.494,5.3,7.2,0.742,3.9,8.8,12.7,3.6,2.4,1.2,3.6,5.4,26.6,,104.0,105.0,2013-2014,Average,22.7
100,6987,Jarrett Jack,PG,31,BRK,80,27,2241,8.3,18.9,0.439,0.9,3.4,0.267,7.4,15.5,0.477,4.6,5.2,0.881,0.4,5.2,5.7,8.6,1.7,0.3,4.4,3.3,22.1,,101.0,109.0,2014-2015,Average,28.0
